geography,fips,avg_rate,avg_cases,avg_population
Alabama,1,6.07,232.27,3845745.07
Alaska,2,2.28,12.47,551903.0
American Samoa,60,0.16,0.07,42265.2
Arizona,4,3.95,192.13,4960833.0
Arkansas,5,3.95,91.93,2331227.87
California,6,5.39,1579.47,29685237.93
Colorado,8,2.94,115.47,3978559.4
Connecticut,9,8.1,235.73,2933078.0
Delaware,10,11.49,81.2,717285.87
District of Columbia,11,54.89,278.13,516247.87
Florida,12,13.73,2070.33,15276522.6
Georgia,13,10.01,750.4,7569151.8
Guam,66,1.86,2.33,123972.2
Hawaii,15,3.43,36.93,1085893.0
Idaho,16,1.05,12.33,1187126.6
Illinois,17,5.27,550.87,10467093.47
Indiana,18,3.15,163.93,5210720.27
Iowa,19,1.25,31.13,2484716.07
Kansas,20,1.95,44.0,2280103.07
Kentucky,21,2.83,99.07,3520641.93
Louisiana,22,12.01,440.67,3679327.93
Maine,23,1.73,19.33,1119695.87
Maryland,24,14.41,667.53,4681678.47
Massachusetts,25,4.96,271.33,5505547.53
Michigan,26,3.43,284.0,8279433.8
Minnesota,27,1.69,72.2,4286222.53
Mississippi,28,8.04,190.87,2380191.73
Missouri,29,3.69,178.93,4860246.6
Montana,30,1.07,8.6,802330.2
Nebraska,31,1.84,26.73,1459258.6
Nevada,32,5.84,117.0,2034935.13
New Hampshire,33,1.41,15.33,1097450.4
New Jersey,34,10.93,783.0,7206639.27
New Mexico,35,3.13,49.87,1603354.2
New York,36,14.62,2360.93,16212703.47
North Carolina,37,5.46,404.07,7460780.33
North Dakota,38,0.93,5.13,552784.73
Northern Mariana Islands,69,0.0,0.0,48891.33
Ohio,39,2.7,258.67,9538973.47
Oklahoma,40,3.51,104.4,2982169.93
Oregon,41,2.9,89.33,3100306.73
Pennsylvania,42,5.94,626.13,10565958.07
Puerto Rico,72,17.73,554.93,3130568.4
Rhode Island,44,4.38,39.13,894041.6
South Carolina,45,8.71,316.4,3662694.13
South Dakota,46,0.94,6.27,654644.87
Tennessee,47,6.26,315.53,5091482.4
Texas,48,6.57,1237.27,19072875.6
U.S. Virgin Islands,78,10.99,9.67,87854.8
Utah,49,1.47,28.67,2010105.2
Vermont,50,1.32,6.93,529473.53
Virginia,51,4.65,294.87,6419971.6
Washington,53,2.95,156.33,5362761.87
West Virginia,54,2.2,33.8,1547692.4
Wisconsin,55,1.79,82.8,4650190.13
Wyoming,56,0.94,4.13,440030.07
