geography,Total Clinics,fips,avg_rate,avg_cases,avg_population
Alabama,136,1.0,6.07,232.27,3845745.07
Alaska,77,2.0,2.28,12.47,551903.0
Arizona,164,4.0,3.95,192.13,4960833.0
Arkansas,120,5.0,3.95,91.93,2331227.87
California,844,6.0,5.39,1579.47,29685237.93
Colorado,107,8.0,2.94,115.47,3978559.4
Connecticut,98,9.0,8.1,235.73,2933078.0
Delaware,32,10.0,11.49,81.2,717285.87
District of Columbia,1,11.0,54.89,278.13,516247.87
Florida,400,12.0,13.73,2070.33,15276522.6
Georgia,312,13.0,10.01,750.4,7569151.8
Hawaii,34,15.0,3.43,36.93,1085893.0
Idaho,74,16.0,1.05,12.33,1187126.6
Illinois,225,17.0,5.27,550.87,10467093.47
Indiana,104,18.0,3.15,163.93,5210720.27
Iowa,55,19.0,1.25,31.13,2484716.07
Kansas,107,20.0,1.95,44.0,2280103.07
Kentucky,188,21.0,2.83,99.07,3520641.93
Louisiana,112,22.0,12.01,440.67,3679327.93
Maine,54,23.0,1.73,19.33,1119695.87
Maryland,87,24.0,14.41,667.53,4681678.47
Massachusetts,132,25.0,4.96,271.33,5505547.53
Michigan,200,26.0,3.43,284.0,8279433.8
Minnesota,121,27.0,1.69,72.2,4286222.53
Mississippi,169,28.0,8.04,190.87,2380191.73
Missouri,187,29.0,3.69,178.93,4860246.6
Montana,51,30.0,1.07,8.6,802330.2
Nebraska,60,31.0,1.84,26.73,1459258.6
Nevada,33,32.0,5.84,117.0,2034935.13
New Hampshire,36,33.0,1.41,15.33,1097450.4
New Jersey,138,34.0,10.93,783.0,7206639.27
New Mexico,122,35.0,3.13,49.87,1603354.2
New York,495,36.0,14.62,2360.93,16212703.47
North Carolina,223,37.0,5.46,404.07,7460780.33
North Dakota,41,38.0,0.93,5.13,552784.73
Ohio,214,39.0,2.7,258.67,9538973.47
Oklahoma,151,40.0,3.51,104.4,2982169.93
Oregon,90,41.0,2.9,89.33,3100306.73
Pennsylvania,242,42.0,5.94,626.13,10565958.07
Rhode Island,25,44.0,4.38,39.13,894041.6
South Carolina,116,45.0,8.71,316.4,3662694.13
South Dakota,49,46.0,0.94,6.27,654644.87
Tennessee,166,47.0,6.26,315.53,5091482.4
Texas,368,48.0,6.57,1237.27,19072875.6
Utah,50,49.0,1.47,28.67,2010105.2
Vermont,58,50.0,1.32,6.93,529473.53
Virginia,221,51.0,4.65,294.87,6419971.6
Washington,327,53.0,2.95,156.33,5362761.87
West Virginia,85,54.0,2.2,33.8,1547692.4
Wisconsin,142,55.0,1.79,82.8,4650190.13
Wyoming,39,56.0,0.94,4.13,440030.07
need info,48,,,,
