indicator,year,geography,fips,race,sex,age_group,misc,rate,cases,population
AIDS deaths,2000,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.2,263,3649040
AIDS deaths,2000,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.6,13,492320
AIDS deaths,2000,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,37866
AIDS deaths,2000,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.9,205,4157297
AIDS deaths,2000,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,82,2193844
AIDS deaths,2000,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7,1896,27183676
AIDS deaths,2000,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,116,3530430
AIDS deaths,2000,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.2,313,2795939
AIDS deaths,2000,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.2,98,645214
AIDS deaths,2000,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,75.8,368,485304
AIDS deaths,2000,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,17.4,2334,13420555
AIDS deaths,2000,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.1,803,6642424
AIDS deaths,2000,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,1,113718
AIDS deaths,2000,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.9,39,998603
AIDS deaths,2000,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,13,1037896
AIDS deaths,2000,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.6,670,10080955
AIDS deaths,2000,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,159,4957454
AIDS deaths,2000,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,30,2412252
AIDS deaths,2000,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,32,2186722
AIDS deaths,2000,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.8,92,3335999
AIDS deaths,2000,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.6,454,3610682
AIDS deaths,2000,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,21,1068500
AIDS deaths,2000,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.6,719,4325451
AIDS deaths,2000,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.1,320,5270519
AIDS deaths,2000,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,352,8085123
AIDS deaths,2000,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,92,4022624
AIDS deaths,2000,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8,183,2296180
AIDS deaths,2000,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,202,4590356
AIDS deaths,2000,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,7,745797
AIDS deaths,2000,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,31,1396382
AIDS deaths,2000,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.4,121,1634059
AIDS deaths,2000,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,20,1019355
AIDS deaths,2000,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.3,1058,6898878
AIDS deaths,2000,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,45,1461381
AIDS deaths,2000,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,20,3121,15595556
AIDS deaths,2000,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.5,364,6637885
AIDS deaths,2000,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,7,531381
AIDS deaths,2000,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,55861
AIDS deaths,2000,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,250,9296192
AIDS deaths,2000,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.5,126,2823517
AIDS deaths,2000,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,81,2826917
AIDS deaths,2000,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.9,708,10212120
AIDS deaths,2000,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,25.3,768,3029858
AIDS deaths,2000,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.1,53,870992
AIDS deaths,2000,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9,296,3296398
AIDS deaths,2000,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.5,3,615275
AIDS deaths,2000,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.8,317,4692938
AIDS deaths,2000,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.6,1269,16668002
AIDS deaths,2000,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.5,8,84300
AIDS deaths,2000,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.4,41,1725119
AIDS deaths,2000,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,7,507693
AIDS deaths,2000,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,351,5845015
AIDS deaths,2000,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,174,4827518
AIDS deaths,2000,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,24,1526143
AIDS deaths,2000,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,103,4412228
AIDS deaths,2000,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,5,406801
AIDS deaths,2001,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.9,288,3662760
AIDS deaths,2001,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,11,500128
AIDS deaths,2001,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,38710
AIDS deaths,2001,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.8,203,4269156
AIDS deaths,2001,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,84,2206650
AIDS deaths,2001,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7,1937,27639962
AIDS deaths,2001,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,132,3618563
AIDS deaths,2001,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.5,295,2816060
AIDS deaths,2001,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.2,93,653251
AIDS deaths,2001,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,73.9,362,490148
AIDS deaths,2001,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16,2188,13685697
